Nr,Name,MaxSchnellmeldungen,AnzSchnellmeldungen,Wahlberechtigte,abgegeben,Wahlbeteiligung,gültigeStimmzettel,gültig,ungültigeStimmzettel,ungültig,gültig2,ungültig2,CDU,CDU_Proz,Z_CDU,Z_CDU_Proz,SPD,SPD_Proz,Z_SPD,Z_SPD_Proz,FDP,FDP_Proz,Z_FDP,Z_FDP_Proz,GRÜNE,GRÜNE_Proz,Z_GRÜNE,Z_GRÜNE_Proz,DIE LINKE,DIE LINKE_Proz,Z_DIE LINKE,Z_DIE LINKE_Proz,PIRATEN,PIRATEN_Proz,Z_PIRATEN,Z_PIRATEN_Proz,NPD,NPD_Proz,Z_NPD,Z_NPD_Proz,REP,REP_Proz,Z_REP,Z_REP_Proz,Bündnis 21/RRP,Bündnis 21/RRP_Proz,Z_Bündnis 21/RRP,Z_Bündnis 21/RRP_Proz,Volksabstimmung,Volksabstimmung_Proz,Z_Volksabstimmung,Z_Volksabstimmung_Proz,ÖDP,ÖDP_Proz,Z_ÖDP,Z_ÖDP_Proz,MLPD,MLPD_Proz,Z_MLPD,Z_MLPD_Proz,BüSo,BüSo_Proz,Z_BüSo,Z_BüSo_Proz,PSG,PSG_Proz,Z_PSG,Z_PSG_Proz,AfD,AfD_Proz,Z_AfD,Z_AfD_Proz,BIG,BIG_Proz,Z_BIG,Z_BIG_Proz,pro Deutschland,pro Deutschland_Proz,Z_pro Deutschland,Z_pro Deutschland_Proz,DIE RECHTE,DIE RECHTE_Proz,Z_DIE RECHTE,Z_DIE RECHTE_Proz,FREIE WÄHLER,FREIE WÄHLER_Proz,Z_FREIE WÄHLER,Z_FREIE WÄHLER_Proz,Partei der Nichtwähler,Partei der Nichtwähler_Proz,Z_Partei der Nichtwähler,Z_Partei der Nichtwähler_Proz,Partei der Vernunft,Partei der Vernunft_Proz,Z_Partei der Vernunft,Z_Partei der Vernunft_Proz,Die PARTEI,Die PARTEI_Proz,Z_Die PARTEI,Z_Die PARTEI_Proz,_unnamed
,Altstadt/Nord,19,19,12740,9772,76.7,,9693,,79,9720,52,3621,37.36,3220,33.13,3055,31.52,2412,24.81,380,3.92,809,8.32,1485,15.32,1640,16.87,573,5.91,793,8.16,288,2.97,299,3.08,32,0.33,22,0.23,0,0.0,4,0.04,0,0.0,1,0.01,0,0.0,11,0.11,0,0.0,12,0.12,0,0.0,3,0.03,11,0.11,4,0.04,0,0.0,0,0.0,211,2.18,342,3.52,0,0.0,6,0.06,0,0.0,10,0.1,0,0.0,2,0.02,37,0.38,13,0.13,0,0.0,20,0.21,0,0.0,6,0.06,0,0.0,91,0.94,
,Altstadt/Süd,28,28,20588,15497,75.27,,15346,,151,15395,102,4630,30.17,4298,27.92,5657,36.86,4536,29.46,376,2.45,960,6.24,2739,17.85,2845,18.48,1087,7.08,1471,9.56,461,3.0,498,3.23,58,0.38,43,0.28,0,0.0,6,0.04,0,0.0,7,0.05,0,0.0,20,0.13,0,0.0,29,0.19,0,0.0,9,0.06,9,0.06,3,0.02,0,0.0,2,0.01,281,1.83,413,2.68,0,0.0,11,0.07,0,0.0,27,0.18,0,0.0,0,0.0,48,0.31,27,0.18,0,0.0,42,0.27,0,0.0,11,0.07,0,0.0,137,0.89,
,Bayenthal,10,10,6243,4947,79.24,,4923,,24,4924,23,1897,38.53,1660,33.71,1667,33.86,1321,26.83,137,2.78,390,7.92,708,14.38,773,15.7,278,5.65,392,7.96,80,1.63,109,2.21,25,0.51,18,0.37,0,0.0,1,0.02,0,0.0,0,0.0,0,0.0,8,0.16,0,0.0,6,0.12,0,0.0,1,0.02,1,0.02,1,0.02,0,0.0,1,0.02,117,2.38,194,3.94,0,0.0,4,0.08,0,0.0,3,0.06,0,0.0,1,0.02,13,0.26,4,0.08,0,0.0,6,0.12,0,0.0,2,0.04,0,0.0,29,0.59,
,Bickendorf,15,15,10413,6564,63.04,,6477,,87,6498,66,1809,27.93,1719,26.45,2827,43.65,2260,34.78,104,1.61,222,3.42,738,11.39,914,14.07,655,10.11,737,11.34,200,3.09,190,2.92,95,1.47,54,0.83,0,0.0,15,0.23,0,0.0,7,0.11,0,0.0,10,0.15,0,0.0,17,0.26,0,0.0,3,0.05,10,0.15,3,0.05,0,0.0,0,0.0,0,0.0,203,3.12,0,0.0,25,0.38,0,0.0,26,0.4,0,0.0,1,0.02,39,0.6,22,0.34,0,0.0,12,0.18,0,0.0,10,0.15,0,0.0,48,0.74,
,Bilderstöckchen,11,11,8786,5668,64.51,,5609,,59,5619,49,1692,30.17,1609,28.63,2542,45.32,2054,36.55,113,2.01,193,3.43,485,8.65,649,11.55,446,7.95,517,9.2,182,3.24,153,2.72,93,1.66,58,1.03,0,0.0,7,0.12,0,0.0,2,0.04,0,0.0,7,0.12,0,0.0,12,0.21,0,0.0,1,0.02,7,0.12,5,0.09,0,0.0,0,0.0,0,0.0,200,3.56,0,0.0,41,0.73,0,0.0,31,0.55,0,0.0,5,0.09,49,0.87,20,0.36,0,0.0,13,0.23,0,0.0,2,0.04,0,0.0,40,0.71,
,Blumenberg,5,5,3451,2103,60.94,,2072,,31,2073,30,747,36.05,712,34.35,857,41.36,668,32.22,27,1.3,73,3.52,169,8.16,193,9.31,167,8.06,206,9.94,61,2.94,54,2.6,36,1.74,21,1.01,0,0.0,2,0.1,0,0.0,3,0.14,0,0.0,3,0.14,0,0.0,5,0.24,0,0.0,0,0.0,1,0.05,0,0.0,0,0.0,0,0.0,0,0.0,82,3.96,0,0.0,21,1.01,0,0.0,11,0.53,0,0.0,1,0.05,7,0.34,3,0.14,0,0.0,2,0.1,0,0.0,1,0.05,0,0.0,12,0.58,
,Bocklemünd/Mengenich,9,9,6663,4172,62.61,,4102,,70,4117,55,1463,35.67,1367,33.2,1830,44.61,1513,36.75,87,2.12,221,5.37,220,5.36,321,7.8,301,7.34,315,7.65,83,2.02,79,1.92,92,2.24,58,1.41,0,0.0,7,0.17,0,0.0,0,0.0,0,0.0,9,0.22,0,0.0,10,0.24,0,0.0,1,0.02,8,0.2,5,0.12,0,0.0,1,0.02,0,0.0,138,3.35,0,0.0,5,0.12,0,0.0,19,0.46,0,0.0,1,0.02,18,0.44,11,0.27,0,0.0,8,0.19,0,0.0,5,0.12,0,0.0,23,0.56,
,Braunsfeld,12,12,8684,7125,82.05,,7074,,51,7089,36,3125,44.18,2705,38.16,2141,30.27,1712,24.15,202,2.86,679,9.58,1007,14.24,1107,15.62,275,3.89,402,5.67,112,1.58,119,1.68,14,0.2,14,0.2,0,0.0,4,0.06,0,0.0,2,0.03,0,0.0,8,0.11,0,0.0,13,0.18,0,0.0,2,0.03,4,0.06,3,0.04,0,0.0,2,0.03,171,2.42,250,3.53,0,0.0,4,0.06,0,0.0,10,0.14,0,0.0,0,0.0,23,0.33,13,0.18,0,0.0,13,0.18,0,0.0,4,0.06,0,0.0,23,0.32,
,Brück,13,13,7653,5953,77.79,,5912,,41,5923,30,2712,45.87,2400,40.52,2001,33.85,1682,28.4,152,2.57,409,6.91,496,8.39,659,11.13,234,3.96,317,5.35,91,1.54,93,1.57,43,0.73,38,0.64,0,0.0,5,0.08,0,0.0,2,0.03,0,0.0,6,0.1,0,0.0,14,0.24,0,0.0,3,0.05,4,0.07,1,0.02,0,0.0,0,0.0,160,2.71,236,3.98,0,0.0,2,0.03,0,0.0,9,0.15,0,0.0,2,0.03,19,0.32,14,0.24,0,0.0,8,0.14,0,0.0,5,0.08,0,0.0,18,0.3,
,Buchforst,5,5,4297,2499,58.16,,2448,,51,2461,38,655,26.76,571,23.2,1149,46.94,926,37.63,37,1.51,92,3.74,217,8.86,261,10.61,252,10.29,295,11.99,0,0.0,89,3.62,60,2.45,40,1.63,0,0.0,3,0.12,0,0.0,5,0.2,0,0.0,6,0.24,0,0.0,3,0.12,17,0.69,7,0.28,0,0.0,3,0.12,0,0.0,0,0.0,0,0.0,90,3.66,0,0.0,21,0.85,0,0.0,14,0.57,0,0.0,0,0.0,34,1.39,10,0.41,0,0.0,5,0.2,0,0.0,3,0.12,27,1.1,17,0.69,
,Buchheim,10,10,7539,4675,62.01,,4600,,75,4622,53,1353,29.41,1265,27.37,2176,47.3,1673,36.2,96,2.09,187,4.05,397,8.63,507,10.97,375,8.15,445,9.63,0,0.0,171,3.7,67,1.46,53,1.15,0,0.0,6,0.13,0,0.0,1,0.02,0,0.0,7,0.15,0,0.0,9,0.19,18,0.39,5,0.11,0,0.0,0,0.0,0,0.0,2,0.04,0,0.0,182,3.94,0,0.0,29,0.63,0,0.0,12,0.26,0,0.0,1,0.02,51,1.11,15,0.32,0,0.0,8,0.17,0,0.0,1,0.02,67,1.46,43,0.93,
,Chorweiler,6,6,6100,2590,42.46,,2499,,91,2515,75,855,34.21,789,31.37,1065,42.62,912,36.26,49,1.96,65,2.58,105,4.2,152,6.04,306,12.24,341,13.56,58,2.32,66,2.62,46,1.84,25,0.99,0,0.0,2,0.08,0,0.0,1,0.04,0,0.0,7,0.28,0,0.0,1,0.04,0,0.0,2,0.08,1,0.04,0,0.0,0,0.0,1,0.04,0,0.0,85,3.38,0,0.0,18,0.72,0,0.0,24,0.95,0,0.0,1,0.04,14,0.56,8,0.32,0,0.0,4,0.16,0,0.0,2,0.08,0,0.0,9,0.36,
